"open","high","low","close","volume","timestamp","formattedOpen","formattedHigh","formattedLow","formattedClose","formattedVolume","formattedTimestamp","relatedNews","issue","redemption","highLow","peCode","newsPnacWithCsk","Date"
"4.070275","4.083321","4.05227","4.082125","0","2013-11-19T01:00:00+01:00","4.070275","4.083321","4.05227","4.082125","0","19/11/2013","","0","1","[object Object]","[object Object]","","2013-11-19"
"4.082125","4.122596","4.067472","4.084216","0","2013-11-20T01:00:00+01:00","4.082125","4.122596","4.067472","4.084216","0","20/11/2013","","0","1","[object Object]","[object Object]","","2013-11-20"
"4.084216","4.129718","4.070955","4.100893","0","2013-11-21T01:00:00+01:00","4.084216","4.129718","4.070955","4.100893","0","21/11/2013","","0","1","[object Object]","[object Object]","","2013-11-21"
"4.100893","4.118806","4.07803","4.084016","0","2013-11-22T01:00:00+01:00","4.100893","4.118806","4.07803","4.084016","0","22/11/2013","","0","1","[object Object]","[object Object]","","2013-11-22"
"4.084016","4.106701","4.080324","4.094703","0","2013-11-25T01:00:00+01:00","4.084016","4.106701","4.080324","4.094703","0","25/11/2013","","0","1","[object Object]","[object Object]","","2013-11-25"
"4.094703","4.094703","4.05391","4.062275","0","2013-11-26T01:00:00+01:00","4.094703","4.094703","4.05391","4.062275","0","26/11/2013","","0","1","[object Object]","[object Object]","","2013-11-26"
"4.062275","4.100316","4.052398","4.060767","0","2013-11-27T01:00:00+01:00","4.062275","4.100316","4.052398","4.060767","0","27/11/2013","","0","1","[object Object]","[object Object]","","2013-11-27"
"4.060767","4.093017","4.042734","4.046317","0","2013-11-28T01:00:00+01:00","4.060767","4.093017","4.042734","4.046317","0","28/11/2013","","0","1","[object Object]","[object Object]","","2013-11-28"
"4.046317","4.059362","4.030689","4.053382","0","2013-11-29T01:00:00+01:00","4.046317","4.059362","4.030689","4.053382","0","29/11/2013","","0","1","[object Object]","[object Object]","","2013-11-29"
"4.053382","4.084421","4.048493","4.079623","0","2013-12-02T01:00:00+01:00","4.053382","4.084421","4.048493","4.079623","0","02/12/2013","","0","1","[object Object]","[object Object]","","2013-12-02"
"4.079623","4.110757","4.069933","4.095128","0","2013-12-03T01:00:00+01:00","4.079623","4.110757","4.069933","4.095128","0","03/12/2013","","0","1","[object Object]","[object Object]","","2013-12-03"
"4.095128","4.163596","4.09484","4.159965","0","2013-12-04T01:00:00+01:00","4.095128","4.163596","4.09484","4.159965","0","04/12/2013","","0","1","[object Object]","[object Object]","","2013-12-04"
"4.159965","4.265734","4.135708","4.248625","0","2013-12-05T01:00:00+01:00","4.159965","4.265734","4.135708","4.248625","0","05/12/2013","","0","1","[object Object]","[object Object]","","2013-12-05"
"4.248625","4.284043","4.187682","4.192538","0","2013-12-06T01:00:00+01:00","4.248625","4.284043","4.187682","4.192538","0","06/12/2013","","0","1","[object Object]","[object Object]","","2013-12-06"
"4.192538","4.192538","4.140366","4.140366","0","2013-12-09T01:00:00+01:00","4.192538","4.192538","4.140366","4.140366","0","09/12/2013","","0","1","[object Object]","[object Object]","","2013-12-09"
"4.140366","4.140366","4.059628","4.070424","0","2013-12-10T01:00:00+01:00","4.140366","4.140366","4.059628","4.070424","0","10/12/2013","","0","1","[object Object]","[object Object]","","2013-12-10"
"4.070424","4.071323","4.035354","4.05812","0","2013-12-11T01:00:00+01:00","4.070424","4.071323","4.035354","4.05812","0","11/12/2013","","0","1","[object Object]","[object Object]","","2013-12-11"
"4.05812","4.127849","4.05812","4.100098","0","2013-12-12T01:00:00+01:00","4.05812","4.127849","4.05812","4.100098","0","12/12/2013","","0","1","[object Object]","[object Object]","","2013-12-12"
"4.100098","4.116891","4.083147","4.095185","0","2013-12-13T01:00:00+01:00","4.100098","4.116891","4.083147","4.095185","0","13/12/2013","","0","1","[object Object]","[object Object]","","2013-12-13"
"4.095185","4.097501","4.041021","4.045816","0","2013-12-16T01:00:00+01:00","4.095185","4.097501","4.041021","4.045816","0","16/12/2013","","0","1","[object Object]","[object Object]","","2013-12-16"
"4.045816","4.070924","4.042114","4.043312","0","2013-12-17T01:00:00+01:00","4.045816","4.070924","4.042114","4.043312","0","17/12/2013","","0","1","[object Object]","[object Object]","","2013-12-17"
"4.043312","4.093508","4.043312","4.069423","0","2013-12-18T01:00:00+01:00","4.043312","4.093508","4.043312","4.069423","0","18/12/2013","","0","1","[object Object]","[object Object]","","2013-12-18"
"4.069423","4.104273","4.050093","4.082566","0","2013-12-19T01:00:00+01:00","4.069423","4.104273","4.050093","4.082566","0","19/12/2013","","0","1","[object Object]","[object Object]","","2013-12-19"
"4.082566","4.134245","4.081071","4.131822","0","2013-12-20T01:00:00+01:00","4.082566","4.134245","4.081071","4.131822","0","20/12/2013","","0","1","[object Object]","[object Object]","","2013-12-20"
"4.131822","4.23759","4.131822","4.230242","0","2013-12-23T01:00:00+01:00","4.131822","4.23759","4.131822","4.230242","0","23/12/2013","","0","1","[object Object]","[object Object]","","2013-12-23"
"4.230242","4.230242","4.230242","4.230242","0","2013-12-24T01:00:00+01:00","4.230242","4.230242","4.230242","4.230242","0","24/12/2013","","0","1","[object Object]","[object Object]","","2013-12-24"
"4.248443","4.248443","4.203136","4.226377","0","2013-12-27T01:00:00+01:00","4.248443","4.248443","4.203136","4.226377","0","27/12/2013","","0","1","[object Object]","[object Object]","","2013-12-27"
"4.226377","4.252068","4.08402","4.10457","0","2013-12-30T01:00:00+01:00","4.226377","4.252068","4.08402","4.10457","0","30/12/2013","","0","1","[object Object]","[object Object]","","2013-12-30"
"4.10457","4.10457","4.10457","4.10457","0","2013-12-31T01:00:00+01:00","4.10457","4.10457","4.10457","4.10457","0","31/12/2013","","0","1","[object Object]","[object Object]","","2013-12-31"
"4.094525","4.096945","3.968282","3.971867","0","2014-01-02T01:00:00+01:00","4.094525","4.096945","3.968282","3.971867","0","02/01/2014","","0","1","[object Object]","[object Object]","","2014-01-02"
"3.971867","3.97414","3.932376","3.933567","0","2014-01-03T01:00:00+01:00","3.971867","3.97414","3.932376","3.933567","0","03/01/2014","","0","1","[object Object]","[object Object]","","2014-01-03"
"3.933567","3.952517","3.925106","3.934631","0","2014-01-06T01:00:00+01:00","3.933567","3.952517","3.925106","3.934631","0","06/01/2014","","0","1","[object Object]","[object Object]","","2014-01-06"
"3.934631","3.934631","3.866817","3.875104","0","2014-01-07T01:00:00+01:00","3.934631","3.934631","3.866817","3.875104","0","07/01/2014","","0","1","[object Object]","[object Object]","","2014-01-07"
"3.875104","3.897231","3.849826","3.886546","0","2014-01-08T01:00:00+01:00","3.875104","3.897231","3.849826","3.886546","0","08/01/2014","","0","1","[object Object]","[object Object]","","2014-01-08"
"3.886546","3.906607","3.840226","3.90304","0","2014-01-09T01:00:00+01:00","3.886546","3.906607","3.840226","3.90304","0","09/01/2014","","0","1","[object Object]","[object Object]","","2014-01-09"
"3.90304","3.93268","3.89221","3.923143","0","2014-01-10T01:00:00+01:00","3.90304","3.93268","3.89221","3.923143","0","10/01/2014","","0","1","[object Object]","[object Object]","","2014-01-10"
"3.923143","3.939714","3.893263","3.893263","0","2014-01-13T01:00:00+01:00","3.923143","3.939714","3.893263","3.893263","0","13/01/2014","","0","1","[object Object]","[object Object]","","2014-01-13"
"3.893263","3.903831","3.875315","3.887187","0","2014-01-14T01:00:00+01:00","3.893263","3.903831","3.875315","3.887187","0","14/01/2014","","0","1","[object Object]","[object Object]","","2014-01-14"
"3.887187","3.887187","3.855922","3.871338","0","2014-01-15T01:00:00+01:00","3.887187","3.887187","3.855922","3.871338","0","15/01/2014","","0","1","[object Object]","[object Object]","","2014-01-15"
"3.871338","3.887832","3.84275","3.846302","0","2014-01-16T01:00:00+01:00","3.871338","3.887832","3.84275","3.846302","0","16/01/2014","","0","1","[object Object]","[object Object]","","2014-01-16"
"3.846302","3.846302","3.797715","3.822498","0","2014-01-17T01:00:00+01:00","3.846302","3.846302","3.797715","3.822498","0","17/01/2014","","0","1","[object Object]","[object Object]","","2014-01-17"
"3.822498","3.822498","3.7846","3.79756","0","2014-01-20T01:00:00+01:00","3.822498","3.822498","3.7846","3.79756","0","20/01/2014","","0","1","[object Object]","[object Object]","","2014-01-20"
"3.79756","3.834026","3.789154","3.832842","0","2014-01-21T01:00:00+01:00","3.79756","3.834026","3.789154","3.832842","0","21/01/2014","","0","1","[object Object]","[object Object]","","2014-01-21"
"3.832842","3.840693","3.783968","3.834769","0","2014-01-22T01:00:00+01:00","3.832842","3.840693","3.783968","3.834769","0","22/01/2014","","0","1","[object Object]","[object Object]","","2014-01-22"
